Contract Identifier,State Office Code,Contract Term,Acres Current,Mbf Current,Ccf Current,Value Sold
IDC02-TS-2015.0003,ID,6.0,3.0,27.0,202.1,3315.0
IDC02-TS-2016.0001,ID,12.0,138.0,1420.0,2314.6,141697.3
IDC02-TS-2016.0002,ID,12.0,51.0,490.0,798.7,10357.8
IDC02-TS-2016.0003,ID,12.0,141.6,1200.0,1956.0,40882.2
IDC02-TS-2017.0001,ID,12.0,39.6,656.0,1069.3,10446.0
IDC02-TS-2018.0001,ID,36.0,701.0,5768.0,9401.8,454738.5
IDC02-TS-2019.0001,ID,18.0,240.0,3030.9,4940.4,400492.8
IDI00-TS-2019.0001,ID,36.0,2.9,39.8,64.9,4357.7
IDI01-TS-2013.0001,ID,36.0,22.3,164.2,267.6,5902.99
IDI01-TS-2014.0001,ID,36.0,14.8,90.0,146.7,5700.6
IDI01-TS-2014.0002,ID,24.0,40.0,284.2,463.2,42630.0
IDI01-TS-2014.0003,ID,24.0,28.0,371.0,604.7,22096.76
IDI01-TS-2016.0001,ID,36.0,135.0,540.0,880.2,67392.0
IDI01-TS-2017.0001,ID,36.0,30.0,85.0,138.6,4034.1
IDI01-TS-2017.0002,ID,36.0,166.0,683.0,1113.3,97592.43
IDI01-TS-2017.0004,ID,24.0,35.0,171.9,280.2,9130.2
IDI01-TS-2018.0001,ID,36.0,90.0,300.0,489.0,18648.0
IDI02-TS-2012.0004,ID,36.0,123.3,431.1,702.7,18989.1
IDI02-TS-2013.0001,ID,24.0,52.0,384.5,626.7,15518.79
IDI02-TS-2014.0001,ID,24.0,60.0,200.9,327.5,43850.38
IDI02-TS-2014.0002,ID,12.0,98.0,498.0,811.7,11815.78
IDI02-TS-2014.0003,ID,12.0,64.0,415.0,676.5,14549.86
IDI02-TS-2017.0001,ID,17.0,30.0,385.0,627.6,38831.1
IDI02-TS-2017.0002,ID,12.0,43.0,586.3,955.7,64709.93
IDI02-TS-2018.0001,ID,27.0,74.0,572.0,932.4,57629.0
IDI04-TS-2012.0001,ID,24.0,39.5,824.8,1344.4,13518.21
IDI04-TS-2012.0002,ID,24.0,26.1,244.9,399.2,15059.9
IDI04-TS-2014.0001,ID,24.0,34.1,756.2,1232.6,13961.58
IDI04-TS-2015.0001,ID,24.0,39.3,276.5,450.7,20735.75
IDI04-TS-2016.0001,ID,36.0,30.0,222.9,363.3,15283.0
IDI04-TS-2017.0001,ID,36.0,38.3,204.3,333.0,16785.0
IDI04-TS-2017.0002,ID,36.0,38.2,291.7,475.5,21166.2
IDT03-TS-2013.0001,ID,15.0,121.0,500.0,815.0,48348.3
MT001-TS-2013.0001,MT,24.0,183.0,2034.0,3315.4,96270.0
MT001-TS-2018.0001,MT,12.0,64.0,165.0,269.0,1152.0
MT05-TS-2010.0001,MT,24.0,212.0,1014.5,2108.1,21630.0
MT10-TS-2010.0002,MT,36.0,1089.0,11379.0,25354.7,1383033.3
MT10-TS-2010.0005,MT,36.0,989.0,7623.0,17556.4,322849.2
MTB01-TS-2012.0001,MT,24.0,149.0,1080.0,1760.4,57773.33
MTB01-TS-2015.0001,MT,24.0,155.0,1785.0,8252.0,417375.85
MTB01-TS-2016.0001,MT,12.0,2.0,40.0,120.6,5960.0
MTB01-TS-2016.0002,MT,24.0,172.0,1145.0,1866.4,277794.16
MTB01-TS-2017.0001,MT,24.0,58.0,40.0,65.2,4011.5
MTB01-TS-2018.0001,MT,12.0,50.7,52.9,86.2,3846.0
MTB01-TS-2018.0002,MT,12.0,25.0,56.0,91.3,5967.0
MTB01-TS-2018.0003,MT,36.0,250.0,1255.8,2047.0,118541.58
MTB01-TS-2018.0004,MT,36.0,369.0,904.0,1473.5,85732.0
MTB01-TS-2019.0001,MT,19.0,45.0,109.0,177.7,14130.0
MTB01-TS-2019.0002,MT,30.0,34.0,130.0,211.9,21299.19
MTB05-TS-2012.0002,MT,15.0,188.0,859.5,1401.0,149998.6
MTB05-TS-2013.0001,MT,36.0,886.0,3137.0,5113.3,285750.2
MTB05-TS-2013.0002,MT,3.0,39.0,155.8,254.0,7509.31
MTB05-TS-2014.0001,MT,24.0,565.0,4896.0,7980.5,1772327.9
MTB05-TS-2015.0003,MT,24.0,51.0,421.0,686.2,49113.65
MTB05-TS-2016.0001,MT,12.0,39.0,160.0,260.8,21300.0
MTB05-TS-2017.0001,MT,24.0,107.5,301.4,491.3,44000.0
MTB05-TS-2017.0002,MT,36.0,113.0,1295.0,2110.9,133343.2
MTB05-TS-2017.0003,MT,24.0,92.0,662.0,1652.8,8959.0
MTB05-TS-2017.0004,MT,18.0,60.0,406.0,661.8,31056.0
MTB05-TS-2018.0001,MT,24.0,110.0,575.0,937.3,64807.5
MTB05-TS-2018.0002,MT,36.0,910.0,6071.0,9895.7,560004.04
MTB05-TS-2019.0001,MT,24.0,110.0,575.0,937.3,34418.75
MTB07-TS-2013.0002,MT,24.0,173.0,329.1,536.4,4322.96
MTB07-TS-2013.0003,MT,12.0,80.0,1017.7,1658.9,138967.5
MTB07-TS-2014.0001,MT,14.0,130.0,292.0,476.0,50246.25
MTB07-TS-2014.0002,MT,14.0,120.0,438.0,713.9,68220.0
MTB07-TS-2014.0003,MT,24.0,37.0,347.3,566.1,6905.0
MTB07-TS-2015.0001,MT,13.0,5.0,31.0,50.5,3176.15
MTB07-TS-2015.0002,MT,26.0,244.0,1380.0,2249.4,207481.75
MTB07-TS-2015.0003,MT,24.0,135.0,256.0,417.3,3808.0
MTB07-TS-2015.0004,MT,24.0,111.0,1120.0,1825.6,190370.0
MTB07-TS-2016.0001,MT,24.0,20.0,18.2,29.7,545.0
MTB07-TS-2017.0001,MT,24.0,117.0,800.0,1304.0,65010.0
MTB07-TS-2017.0002,MT,24.0,53.0,275.0,448.3,38475.0
MTB07-TS-2018.0001,MT,36.0,122.0,191.0,311.3,6910.9
MTB07-TS-2018.0002,MT,24.0,68.0,700.0,1141.0,59500.0
MTB07-TS-2018.0004,MT,13.0,89.0,226.0,368.4,17275.44
MTB07-TS-2018.0005,MT,36.0,244.0,1000.0,1630.0,91006.25
MTB07-TS-2019.0001,MT,30.0,114.0,515.0,839.5,45240.0
MTB07-TS-2019.0002,MT,30.0,75.0,394.0,642.2,39515.0
MTB07-TS-2019.0003,MT,36.0,400.0,910.0,1483.3,31856.0
MTB07-TS-2019.0005,MT,36.0,227.0,450.0,733.5,28026.04
MTB07-TS-2019.0006,MT,36.0,50.0,88.0,143.4,3080.6
MTC01-TS-2019.0001,MT,12.0,35.0,84.0,136.9,566.0
MTC04-TS-2014.0001,MT,4.0,121.0,86.0,140.2,1575.0
MTC04-TS-2014.0002,MT,4.0,85.0,144.0,234.7,3456.0
MTC04-TS-2015.0001,MT,6.0,187.0,104.0,169.5,3120.0
MTL06-TS-2013.0001,MT,12.0,240.0,1093.5,1782.4,5600.0
MTL06-TS-2014.0001,MT,12.0,26.0,89.0,145.1,2304.0
MTL06-TS-2014.0002,MT,18.0,148.0,346.0,564.0,15498.3
MTL06-TS-2016.0001,MT,24.0,317.0,1572.0,2562.4,20614.0
MTL06-TS-2017.0001,MT,24.0,265.0,1617.0,2635.7,192123.8
MTL06-TS-2019.0001,MT,24.0,321.0,1320.0,2151.6,154048.8
MTL06-TS-2019.0002,MT,24.0,254.0,1185.0,1931.6,71716.0
OR01-TS-2010.0002,OR,25.0,433.0,2753.2,4896.9,240749.4
OR01-TS-2011.0002,OR,26.0,239.0,1671.6,3216.9,116694.6
OR03-TS-2010.0001,OR,36.0,437.0,1402.9,2720.2,36903.2
OR08-TS-1991.0509,OR,24.0,23.0,1573.2,2564.3,773620.0
OR08-TS-2007.0301,OR,36.0,261.0,6751.0,11041.6,931821.6
OR08-TS-2007.0503,OR,36.0,571.0,10225.7,18268.1,1928177.1
OR08-TS-2008.0101,OR,36.0,155.0,1765.4,3231.0,54237.3
OR08-TS-2008.0503,OR,36.0,523.0,8584.5,15651.8,2521209.5
OR08-TS-2009.0102,OR,36.0,182.0,2921.9,5238.7,282066.2
OR08-TS-2009.0103,OR,36.0,388.0,7863.6,14207.7,899912.8
OR08-TS-2009.0302,OR,36.0,99.0,6990.0,10837.0,1048178.4
OR08-TS-2010.0103,OR,36.0,223.0,3759.3,6740.0,826056.1
OR08-TS-2010.0105,OR,36.0,65.0,1066.0,1968.6,108080.0
OR08-TS-2010.0302,OR,36.0,166.0,6180.0,11560.7,1065553.8
OR08-TS-2010.0304,OR,36.0,254.0,7314.8,12561.3,1517973.0
OR08-TS-2010.0501,OR,36.0,389.0,9566.9,16772.0,1630770.1
OR08-TS-2010.0502,OR,36.0,433.0,7231.3,13143.5,1337933.2
OR08-TS-2010.0503,OR,36.0,428.0,9695.3,16708.5,2295614.3
OR08-TS-2011.0101,OR,36.0,149.0,3619.8,6252.3,1159547.6
OR08-TS-2011.0102,OR,36.0,372.0,7202.5,13227.2,2053768.9
OR08-TS-2011.0301,OR,36.0,304.0,11320.0,20317.3,756676.8
OR08-TS-2011.0302,OR,36.0,216.0,7602.0,13243.2,1617418.2
OR08-TS-2011.0501,OR,36.0,152.0,1987.3,3586.1,465031.9
OR08-TS-2011.0502,OR,36.0,456.0,12642.3,22696.8,2718224.4
OR08-TS-2011.0504,OR,36.0,143.0,2903.5,5170.9,819841.8
OR08-TS-2012.0303,OR,36.0,247.0,6430.0,12330.0,910767.0
OR09-TS-1999.0385,OR,36.0,36.0,718.5,1728.8,637519.0
OR09-TS-2008.0675,OR,36.0,423.0,7725.7,13652.0,357433.0
OR09-TS-2008.0677,OR,36.0,365.0,6706.0,11189.0,947484.0
OR09-TS-2009.0602,OR,36.0,389.0,6874.5,16523.6,170205.0
