Contract Identifier,State Office Code,Contract Term,Acres Current,Mbf Current,Ccf Current,Value Sold
ORC00-TS-2014.0009,OR,2.0,0.0,8.5,13.9,3374.5
ORC00-TS-2014.0010,OR,2.0,0.0,14.0,22.8,4710.0
ORC00-TS-2014.0030,OR,36.0,215.0,3222.0,5251.9,296686.0
ORC00-TS-2014.0032,OR,36.0,179.0,3228.0,5261.6,338227.4
ORC00-TS-2014.0033,OR,36.0,348.0,8812.0,14363.6,1812972.4
ORC00-TS-2014.0034,OR,36.0,195.0,4709.0,7675.7,466270.8
ORC00-TS-2014.0035,OR,36.0,178.0,1761.0,2870.4,175383.9
ORC00-TS-2014.0036,OR,36.0,145.0,2613.0,4259.2,507179.9
ORC00-TS-2014.0201,OR,24.0,10.0,249.4,406.5,113786.6
ORC00-TS-2014.0202,OR,24.0,5.0,74.7,121.8,18455.1
ORC00-TS-2014.0204,OR,24.0,1.0,22.4,36.5,6055.2
ORC00-TS-2014.0205,OR,24.0,1.0,13.7,22.3,2935.1
ORC00-TS-2014.0206,OR,24.0,1.0,43.4,70.7,11590.6
ORC00-TS-2014.0207,OR,24.0,1.0,28.2,46.0,7791.0
ORC00-TS-2014.0208,OR,24.0,14.0,262.1,427.2,77002.3
ORC00-TS-2014.0230,OR,4.0,5.0,63.5,103.5,22816.42
ORC00-TS-2014.0231,OR,2.0,1.0,18.8,30.6,4262.2
ORC00-TS-2014.0301,OR,7.0,17.0,251.5,409.9,17431.0
ORC00-TS-2014.0302,OR,12.0,1.5,57.2,93.2,19869.2
ORC00-TS-2014.0303,OR,24.0,1.0,36.0,58.7,10764.0
ORC00-TS-2014.0304,OR,24.0,1.0,38.0,61.9,12332.0
ORC00-TS-2015.0001,OR,36.0,266.0,5945.0,9690.4,1202838.9
ORC00-TS-2015.0002,OR,36.0,85.0,3137.0,5113.3,880519.1
ORC00-TS-2015.0003,OR,36.0,133.0,2414.0,3934.8,604736.2
ORC00-TS-2015.0004,OR,36.0,257.0,5662.0,9229.1,1779045.0
ORC00-TS-2015.0030,OR,36.0,198.0,2802.0,4567.3,566185.8
ORC00-TS-2015.0031,OR,24.0,186.0,1510.0,2461.3,351397.0
ORC00-TS-2015.0032,OR,36.0,149.0,2328.0,3794.6,280753.1
ORC00-TS-2015.0033,OR,36.0,182.0,1946.0,3172.0,285392.8
ORC00-TS-2015.0201,OR,12.0,2.0,26.7,43.5,9045.8
ORC00-TS-2015.0202,OR,6.0,1.0,18.0,29.3,3105.0
ORC00-TS-2015.0203,OR,12.0,1.0,50.3,82.0,19304.4
ORC00-TS-2015.0230,OR,12.0,2.5,66.1,107.7,19564.72
ORC00-TS-2015.0231,OR,12.0,2.0,47.0,76.6,10981.55
ORC00-TS-2015.0301,OR,6.0,1.0,16.0,26.1,4240.0
ORC00-TS-2015.0302,OR,12.0,2.0,22.4,36.5,11819.2
ORC00-TS-2015.0305,OR,12.0,1.0,14.4,23.5,3865.1
ORC00-TS-2015.0306,OR,12.0,2.0,113.0,184.2,29914.5
ORC00-TS-2015.0307,OR,12.0,1.0,12.0,19.6,3616.0
ORC00-TS-2015.0308,OR,6.0,1.0,12.2,19.9,5904.5
ORC00-TS-2015.0309,OR,12.0,1.0,35.8,58.4,8076.0
ORC00-TS-2016.0001,OR,36.0,166.0,2751.0,4484.1,647276.6
ORC00-TS-2016.0002,OR,36.0,389.0,6996.0,11403.5,1880554.1
ORC00-TS-2016.0003,OR,36.0,335.0,6859.0,11180.2,823151.8
ORC00-TS-2016.0004,OR,36.0,130.0,2600.0,4238.0,325295.9
ORC00-TS-2016.0006,OR,12.0,31.0,210.0,342.3,29611.6
ORC00-TS-2016.0030,OR,36.0,218.0,3645.0,5941.4,280881.6
ORC00-TS-2016.0031,OR,24.0,55.0,1152.0,1877.8,240393.2
ORC00-TS-2016.0032,OR,9.0,10.0,81.0,132.0,12555.4
ORC00-TS-2016.0033,OR,36.0,173.0,2742.0,4469.5,189580.4
ORC00-TS-2016.0035,OR,36.0,191.0,3812.0,6213.6,769414.5
ORC00-TS-2016.0201,OR,18.0,1.0,26.0,42.4,8240.5
ORC00-TS-2016.0202,OR,18.0,2.0,47.5,77.4,16309.7
ORC00-TS-2016.0203,OR,18.0,1.0,24.7,40.3,7246.1
ORC00-TS-2016.0204,OR,18.0,1.0,53.4,87.0,16740.7
ORC00-TS-2016.0205,OR,18.0,4.0,47.6,77.6,16591.1
ORC00-TS-2016.0206,OR,18.0,4.0,114.2,186.1,38813.8
ORC00-TS-2016.0207,OR,12.0,1.0,32.0,52.2,6560.0
ORC00-TS-2016.0208,OR,18.0,3.0,31.4,51.2,9816.6
ORC00-TS-2016.0209,OR,18.0,4.0,70.0,114.1,23548.9
ORC00-TS-2016.0230,OR,12.0,1.0,105.3,171.6,31966.9
ORC00-TS-2016.0231,OR,12.0,2.0,38.3,62.4,10982.7
ORC00-TS-2016.0301,OR,12.0,1.0,10.2,16.6,3028.1
ORC00-TS-2016.0302,OR,12.0,1.0,117.0,190.7,37369.5
ORC00-TS-2016.0303,OR,12.0,2.0,40.3,65.7,13461.9
ORC00-TS-2016.0304,OR,6.0,1.0,14.7,24.0,4899.0
ORC00-TS-2016.0305,OR,6.0,1.0,11.0,17.9,3091.0
ORC00-TS-2016.0306,OR,1.0,1.0,45.0,73.4,26460.0
ORC00-TS-2016.0307,OR,6.0,1.0,17.0,27.7,2856.0
ORC00-TS-2016.0308,OR,6.0,1.0,22.5,36.7,5362.5
ORC00-TS-2016.0309,OR,6.0,1.0,30.5,49.7,9700.0
ORC00-TS-2016.0310,OR,6.0,2.0,24.4,39.8,6539.2
ORC00-TS-2016.0311,OR,12.0,2.0,12.0,19.6,5880.0
ORC00-TS-2016.0312,OR,6.0,1.0,40.4,65.9,13572.0
ORC00-TS-2016.0330,OR,12.0,2.0,23.2,37.8,3678.6
ORC00-TS-2017.0001,OR,36.0,74.0,1436.0,2340.7,423938.0
ORC00-TS-2017.0002,OR,36.0,170.0,3293.0,5367.6,806793.3
ORC00-TS-2017.0003,OR,36.0,187.0,3916.0,6383.1,824303.4
ORC00-TS-2017.0004,OR,36.0,50.0,1000.0,1630.0,125852.2
ORC00-TS-2017.0005,OR,36.0,275.0,3557.0,5797.9,301481.2
ORC00-TS-2017.0030,OR,36.0,69.0,4196.0,6839.5,323074.8
ORC00-TS-2017.0031,OR,36.0,101.0,5605.0,9136.2,1342859.6
ORC00-TS-2017.0032,OR,36.0,114.0,2895.0,4718.9,347186.9
ORC00-TS-2017.0033,OR,24.0,26.0,1228.0,2001.6,133347.8
ORC00-TS-2017.0203,OR,24.0,2.0,49.5,80.7,16608.0
ORC00-TS-2017.0204,OR,18.0,4.0,19.6,31.9,6502.6
ORC00-TS-2017.0205,OR,18.0,1.0,24.0,39.1,8277.0
ORC00-TS-2017.0206,OR,18.0,2.0,77.0,125.5,29106.0
ORC00-TS-2017.0207,OR,18.0,1.0,10.0,16.3,3870.0
ORC00-TS-2017.0208,OR,18.0,2.0,82.5,134.5,31194.0
ORC00-TS-2017.0209,OR,12.0,1.0,13.1,21.4,3814.4
ORC00-TS-2017.0230,OR,12.0,5.0,288.5,470.3,97055.4
ORC00-TS-2017.0231,OR,12.0,3.0,15.5,25.3,2975.5
ORC00-TS-2017.0232,OR,12.0,1.0,15.0,24.5,3420.0
ORC00-TS-2017.0301,OR,12.0,2.0,44.0,71.7,4488.0
ORC00-TS-2018.0001,OR,36.0,238.0,3228.0,5261.6,451447.2
ORC00-TS-2018.0002,OR,36.0,499.0,9053.0,14756.4,1963978.3
ORC00-TS-2018.0003,OR,36.0,326.0,7476.0,12185.9,1010760.1
ORC00-TS-2018.0004,OR,36.0,169.0,4577.0,7460.5,1124445.6
ORC00-TS-2018.0005,OR,36.0,211.0,4003.0,6524.9,214884.2
ORC00-TS-2018.0030,OR,36.0,131.0,3092.0,5040.0,442855.3
ORC00-TS-2018.0031,OR,36.0,142.0,1969.0,3209.5,239712.4
ORC00-TS-2018.0033,OR,36.0,161.0,3032.0,4942.2,416393.1
ORC00-TS-2018.0035,OR,18.0,47.0,838.0,1365.9,57135.4
ORC00-TS-2018.0036,OR,18.0,141.0,2001.0,3261.6,198499.2
ORC00-TS-2018.0201,OR,18.0,3.0,64.4,105.0,27620.6
ORC00-TS-2018.0202,OR,18.0,3.0,42.0,68.5,18858.0
ORC00-TS-2018.0203,OR,18.0,1.0,27.0,44.0,7210.0
ORC00-TS-2018.0204,OR,12.0,1.0,7.0,11.4,4725.0
ORC00-TS-2018.0205,OR,18.0,2.0,55.3,90.1,17915.3
ORC00-TS-2018.0206,OR,18.0,2.0,18.1,29.5,7387.7
ORC00-TS-2018.0207,OR,18.0,1.0,14.4,23.5,7141.8
ORC00-TS-2018.0208,OR,18.0,6.0,301.0,490.6,150408.0
ORC00-TS-2018.0209,OR,18.0,1.0,20.8,33.9,8345.6
ORC00-TS-2018.0210,OR,18.0,1.0,7.2,11.7,3303.9
ORC00-TS-2018.0211,OR,18.0,2.0,92.1,150.1,43436.1
ORC00-TS-2018.0212,OR,18.0,3.0,83.2,135.6,41580.0
ORC00-TS-2018.0213,OR,18.0,1.0,13.8,22.5,5948.9
ORC00-TS-2018.0230,OR,12.0,13.0,69.0,112.5,5840.05
ORC00-TS-2018.0231,OR,12.0,1.0,19.0,31.0,4281.0
ORC00-TS-2018.0232,OR,18.0,0.3,14.1,23.0,3409.5
ORC00-TS-2018.0302,OR,6.0,1.0,14.0,22.8,6790.0
ORC03-TS-2012.0007,OR,36.0,338.0,7920.6,14133.1,370002.0
ORC03-TS-2013.0304,OR,3.0,0.0,42.7,69.6,14378.7
ORC03-TS-2019.0001,OR,36.0,196.0,4656.0,7589.3,494500.0
ORC03-TS-2019.0004,OR,36.0,264.0,5488.0,8945.4,355004.6
ORC03-TS-2019.0006,OR,12.0,1.0,269.0,438.5,67987.6
ORC03-TS-2019.0201,OR,18.0,2.0,45.0,73.4,10560.0
ORC03-TS-2019.0202,OR,6.0,2.0,19.3,31.5,3540.6
ORC03-TS-2019.0203,OR,18.0,2.0,72.0,117.4,19224.0
ORC03-TS-2019.0204,OR,18.0,1.0,15.5,25.3,701.6
ORC03-TS-2019.0206,OR,18.0,1.0,88.2,143.8,23026.8
ORC03-TS-2019.0207,OR,18.0,1.0,71.8,117.0,18229.2
ORC03-TS-2019.0208,OR,18.0,1.0,141.6,230.8,33237.0
ORC03-TS-2019.0209,OR,18.0,1.0,33.0,53.8,6311.5
ORC03-TS-2019.0210,OR,18.0,1.0,33.0,53.8,6717.0
ORC03-TS-2019.0211,OR,18.0,2.0,15.0,24.5,2910.0
ORC03-TS-2019.0212,OR,18.0,3.0,52.9,86.2,14321.9
ORC03-TS-2019.0213,OR,18.0,2.0,74.6,121.6,22208.0
ORC03-TS-2019.0214,OR,18.0,1.0,18.5,30.2,3164.5
ORC03-TS-2019.0216,OR,18.0,1.0,34.6,56.4,10206.6
ORC03-TS-2019.0301,OR,24.0,2.0,46.0,75.0,4702.0
ORC03-TS-2019.0302,OR,18.0,2.0,50.0,81.5,4100.0
ORC03-TS-2019.0304,OR,6.0,2.0,22.0,35.9,1162.0
ORC03-TS-2019.0306,OR,12.0,5.0,9.7,15.8,546.51
ORC04-TS-2013.0033,OR,36.0,175.0,3367.0,5488.2,406894.0
ORC04-TS-2013.0332,OR,36.0,4.0,138.0,224.9,25092.7
ORC04-TS-2014.0031,OR,36.0,255.0,4879.0,7952.8,613385.0
ORC04-TS-2019.0030,OR,36.0,141.0,4895.0,7978.9,799840.0
ORC04-TS-2019.0031,OR,36.0,61.0,1113.0,1814.2,76162.7
ORC04-TS-2019.0032,OR,36.0,69.0,1749.0,2850.9,190970.7
ORC04-TS-2019.0033,OR,36.0,40.0,1953.0,3183.4,291419.9
ORC04-TS-2019.0034,OR,36.0,35.0,1826.0,2976.4,370499.6
ORC04-TS-2019.0035,OR,36.0,72.0,2251.0,3669.1,358152.0
ORC04-TS-2019.0230,OR,18.0,1.0,18.1,29.5,3692.2
ORE05-TS-2012.0500,OR,36.0,267.0,5943.5,10559.4,951048.7
ORE05-TS-2012.0501,OR,36.0,167.0,2422.3,4485.8,316672.0
ORE05-TS-2012.0502,OR,36.0,153.0,4327.7,7079.0,931579.7
ORE05-TS-2012.0503,OR,36.0,124.0,2193.4,3806.2,416974.5
ORE05-TS-2012.0505,OR,24.0,83.0,1770.0,3080.6,313823.0
ORE05-TS-2012.0598,OR,36.0,240.6,4654.4,8077.9,995446.0
ORE05-TS-2013.0506,OR,36.0,155.0,2914.0,4749.8,839232.0
ORE05-TS-2013.0508,OR,36.0,286.0,5597.0,9123.1,1565815.0
ORE05-TS-2013.0509,OR,24.0,57.0,962.0,1568.1,212814.0
ORE05-TS-2013.0514,OR,36.0,101.0,1816.0,2960.1,423044.0
ORE05-TS-2013.0524,OR,12.0,32.0,436.0,710.6,51100.0
ORE05-TS-2013.0526,OR,3.0,3.2,91.0,148.3,17563.0
ORE05-TS-2013.0527,OR,3.0,1.0,19.0,31.0,4790.5
ORE05-TS-2013.0571,OR,36.0,280.0,3771.6,6147.7,310489.6
ORE05-TS-2013.0586,OR,36.0,374.0,9879.8,16104.1,2847882.0
ORE05-TS-2014.0504,OR,18.0,40.0,495.0,806.9,64395.3
ORE05-TS-2014.0507,OR,36.0,108.0,2639.0,4301.6,881426.0
ORE05-TS-2014.0517,OR,24.0,55.0,713.0,1162.2,250263.0
ORE05-TS-2014.0518,OR,24.0,85.0,1004.0,1636.5,249526.0
ORE05-TS-2014.0520,OR,36.0,296.0,6227.0,10150.0,1997004.0
ORE05-TS-2014.0521,OR,36.0,307.0,8713.0,14202.2,4008560.9
ORE05-TS-2014.0525,OR,36.0,403.0,5995.0,9771.9,973214.0
ORE05-TS-2014.0531,OR,6.0,2.0,110.7,180.4,21200.0
ORE05-TS-2014.0532,OR,6.0,1.0,50.0,81.5,13400.0
ORE05-TS-2014.0533,OR,6.0,10.0,26.9,43.8,4043.0
ORE05-TS-2014.0534,OR,6.0,7.1,173.3,282.5,54425.35
ORE05-TS-2014.0597,OR,36.0,161.0,2644.0,4309.7,732652.0
ORE05-TS-2015.0519,OR,24.0,41.0,467.0,761.2,152755.7
ORE05-TS-2015.0523,OR,36.0,167.0,3762.0,6132.1,1194558.0
ORE05-TS-2015.0526,OR,24.0,88.0,1645.0,2681.4,471378.0
ORE05-TS-2015.0528,OR,36.0,153.0,2402.0,3915.3,711773.0
ORE05-TS-2015.0529,OR,36.0,297.0,5266.0,8583.6,1587505.2
ORE05-TS-2015.0535,OR,3.0,1.8,56.0,91.3,16352.0
ORE05-TS-2015.0537,OR,4.0,17.0,472.0,769.4,61832.0
ORE05-TS-2015.0543,OR,6.0,5.0,195.0,317.9,47263.0
ORE05-TS-2015.0544,OR,6.0,2.0,95.5,155.7,24780.8
ORE05-TS-2015.0549,OR,6.0,1.5,72.0,117.4,18460.8
ORE05-TS-2016.0522,OR,36.0,114.0,2340.0,3814.2,919129.0
ORE05-TS-2016.0527,OR,36.0,173.1,3570.0,5819.1,978645.7
ORE05-TS-2016.0538,OR,36.0,100.9,2058.0,3354.5,392603.0
ORE05-TS-2016.0539,OR,36.0,90.8,1715.0,2795.5,474775.0
ORE05-TS-2016.0540,OR,36.0,165.9,2815.0,4588.5,807360.0
ORE05-TS-2016.0545,OR,36.0,296.1,5174.0,8433.6,1470430.9
ORE05-TS-2016.0550,OR,3.0,1.0,17.9,29.2,4186.0
ORE05-TS-2016.0551,OR,6.0,2.0,24.0,39.1,6240.0
ORE05-TS-2016.0552,OR,3.0,1.0,10.0,16.3,3189.0
ORE05-TS-2016.0553,OR,3.0,0.2,9.8,16.0,3027.78
ORE05-TS-2016.0554,OR,18.0,5.0,83.1,135.5,21433.05
ORE05-TS-2016.0555,OR,12.0,1.7,18.6,30.3,5064.65
ORE05-TS-2016.0556,OR,12.0,4.0,50.0,81.5,13210.0
ORE06-TS-2012.0648,OR,36.0,245.0,4183.3,7448.7,549104.5
ORE06-TS-2012.0651,OR,36.0,148.0,2044.2,3777.4,280419.0
ORE06-TS-2012.0654,OR,36.0,370.0,6687.0,10899.8,230103.4
ORE06-TS-2012.0658,OR,36.0,581.0,8400.0,15368.0,499399.7
ORE06-TS-2012.0659,OR,36.0,291.0,5010.0,8875.4,518781.4
ORE06-TS-2013.0649,OR,36.0,398.0,5039.8,8214.9,648243.0
ORE06-TS-2013.0656,OR,36.0,107.0,615.0,1002.5,91680.0
ORE06-TS-2013.0657,OR,36.0,368.0,4004.5,6527.3,506995.7
ORE06-TS-2013.0661,OR,36.0,364.0,5879.9,9584.2,1365003.3
ORE06-TS-2013.0662,OR,36.0,344.0,5236.0,8534.7,1087617.2
ORE06-TS-2013.0663,OR,36.0,287.0,3901.1,6358.8,645625.6
ORE06-TS-2013.0666,OR,6.0,6.5,173.8,283.3,42407.77
ORE06-TS-2013.0667,OR,3.0,1.0,31.8,51.8,7656.66
ORE06-TS-2013.0668,OR,3.0,2.0,49.2,80.2,11370.94
ORE06-TS-2013.0669,OR,3.0,1.0,33.3,54.3,7987.84
ORE06-TS-2013.0670,OR,36.0,340.0,4980.3,8117.9,720863.0
ORE06-TS-2014.0664,OR,36.0,400.0,3951.0,6440.1,434528.6
ORE06-TS-2014.0671,OR,36.0,163.0,2411.0,3929.9,718445.0
ORE06-TS-2014.0672,OR,36.0,257.0,3208.0,5229.0,384298.3
ORE06-TS-2014.0674,OR,36.0,269.0,12430.0,20260.9,4248837.0
ORE06-TS-2014.0676,OR,6.0,1.0,15.0,24.5,3757.5
ORE06-TS-2014.0691,OR,6.0,1.0,36.7,59.8,11491.2
ORE06-TS-2015.0673,OR,36.0,414.0,6379.0,10397.8,1244189.5
ORE06-TS-2015.0677,OR,36.0,239.0,3604.0,5874.5,768895.0
ORE06-TS-2015.0678,OR,36.0,365.0,6778.0,11048.1,1721675.5
ORE06-TS-2015.0692,OR,6.0,1.0,62.9,102.5,14168.95
ORE06-TS-2015.0694,OR,6.0,1.0,30.0,48.9,7524.0
ORE06-TS-2015.0695,OR,6.0,1.0,21.8,35.5,5431.52
ORE06-TS-2016.0682,OR,18.0,182.0,2830.0,4612.9,538678.0
ORE06-TS-2016.0686,OR,36.0,245.0,4349.0,7088.9,994228.0
ORE06-TS-2016.0687,OR,36.0,193.0,3980.0,6487.4,1185954.6
ORE06-TS-2016.0688,OR,36.0,156.0,3178.0,5180.1,823314.0
ORE06-TS-2016.0690,OR,36.0,99.0,1818.0,2963.3,384036.0
ORE06-TS-2016.0693,OR,36.0,49.0,2769.0,4513.5,140779.5
ORE06-TS-2016.0697,OR,6.0,2.7,44.4,72.4,10504.34
ORL04-TS-2012.0001,OR,30.0,790.0,1266.0,2520.0,37848.9
ORL04-TS-2012.0002,OR,18.0,327.0,615.9,1091.0,33065.6
ORL04-TS-2012.0003,OR,30.0,250.0,1796.0,3469.5,57825.5
ORL04-TS-2012.0004,OR,26.0,675.0,2970.0,5598.8,101572.6
ORL04-TS-2013.0001,OR,36.0,1225.0,1674.0,2728.6,48211.2
ORL04-TS-2013.0002,OR,36.0,1127.0,3525.0,5745.8,288019.0
ORL04-TS-2014.0001,OR,28.0,571.0,1488.0,2425.4,108997.8
ORL04-TS-2015.0001,OR,20.0,683.0,5638.0,9189.9,372694.9
ORL04-TS-2015.0002,OR,20.0,646.0,5016.0,8176.1,713509.6
ORL04-TS-2016.0001,OR,24.0,669.0,2648.0,4316.2,377309.7
ORL04-TS-2016.0003,OR,6.0,204.0,193.0,314.6,9001.0
ORL04-TS-2016.0004,OR,24.0,85.0,1403.0,2286.9,363228.7
ORL04-TS-2018.0001,OR,36.0,400.0,4459.0,7268.2,1154706.5
ORL04-TS-2019.0001,OR,36.0,390.0,5851.0,9537.1,1349330.6
ORM00-TS-2019.0014,OR,36.0,367.0,5145.0,8386.4,231148.7
ORM05-TS-2012.0022,OR,36.0,483.0,6831.0,11642.9,553553.1
ORM05-TS-2013.0005,OR,36.0,576.0,4185.0,6821.6,1011738.1
ORM05-TS-2013.0009,OR,36.0,487.0,4065.0,6626.0,1404931.7
ORM05-TS-2014.0001,OR,3.0,3.0,45.5,74.2,12603.2
ORM05-TS-2014.0008,OR,36.0,326.0,4784.0,7797.9,507466.4
ORM05-TS-2014.0009,OR,36.0,477.0,3110.0,5069.3,788939.8
ORM05-TS-2015.0002,OR,12.0,24.0,138.0,224.9,22243.4
ORM05-TS-2015.0005,OR,1.0,2.0,34.0,55.4,11507.08
ORM05-TS-2015.0012,OR,36.0,714.0,6946.0,11322.0,714200.3
ORM05-TS-2015.0013,OR,6.0,0.0,51.7,84.3,15407.23
ORM05-TS-2015.0019,OR,6.0,2.0,27.1,44.2,6299.03
ORM05-TS-2016.0004,OR,6.0,2.0,30.6,49.9,7617.7
ORM05-TS-2016.0006,OR,36.0,303.0,1950.0,3178.5,471696.7
ORM05-TS-2016.0010,OR,12.0,17.0,51.9,84.6,8025.36
ORM05-TS-2016.0011,OR,36.0,387.0,4275.0,6968.3,759001.9
ORM05-TS-2016.0012,OR,36.0,750.0,5457.0,8894.9,1560764.5
ORM05-TS-2016.0015,OR,36.0,579.0,4886.0,7964.2,776221.7
ORM05-TS-2017.0001,OR,36.0,144.0,1099.0,1791.4,197799.6
ORM05-TS-2017.0003,OR,6.0,1.0,43.0,70.1,13123.6
ORM05-TS-2017.0005,OR,36.0,692.0,5949.0,9696.9,801752.8
ORM05-TS-2017.0008,OR,6.0,1.6,38.2,62.3,12836.11
ORM05-TS-2017.0014,OR,6.0,1.0,16.8,27.4,6289.6
ORM05-TS-2018.0010,OR,36.0,271.0,3736.0,6089.7,1372388.4
ORM05-TS-2018.0016,OR,36.0,100.0,1353.0,2205.4,376412.2
ORM05-TS-2018.0019,OR,6.0,1.0,9.4,15.3,2878.63
ORM06-TS-2013.0001,OR,36.0,348.0,3738.4,6093.6,329188.5
ORM06-TS-2013.0003,OR,36.0,57.0,1023.0,1667.5,178206.6
ORM06-TS-2013.0010,OR,36.0,217.0,1289.0,2101.1,208818.0
ORM06-TS-2015.0001,OR,36.0,613.0,3355.0,5468.7,856670.8
ORM06-TS-2015.0004,OR,24.0,629.0,6339.0,10332.6,868792.1
ORM06-TS-2015.0010,OR,7.0,50.0,62.0,101.1,8972.9
ORM06-TS-2015.0011,OR,1.0,6.0,32.0,52.2,2710.6
ORM06-TS-2015.0016,OR,36.0,932.0,9935.0,16194.1,2086933.8
ORM06-TS-2015.0018,OR,2.0,82.0,84.0,136.9,32450.82
ORM06-TS-2016.0003,OR,12.0,77.0,38.5,62.8,7751.82
ORM06-TS-2016.0014,OR,18.0,82.0,121.0,197.2,4098.28
ORM06-TS-2017.0010,OR,12.0,20.0,194.4,316.9,12808.24
ORM06-TS-2017.0012,OR,12.0,200.0,1023.0,1667.5,67722.6
ORM06-TS-2018.0004,OR,6.0,10.0,200.0,326.0,16407.9
ORM06-TS-2018.0015,OR,36.0,860.0,8970.0,14621.1,2004798.6
ORM07-TS-2011.0010,OR,24.0,1.0,14.0,24.0,3906.42
ORM07-TS-2012.0010,OR,36.0,85.0,1063.0,1865.0,184043.7
ORM07-TS-2012.0012,OR,36.0,383.0,6920.0,12787.0,931877.3
ORM07-TS-2012.0015,OR,36.0,58.0,337.2,635.7,44006.9
ORM07-TS-2012.0020,OR,24.0,3.0,105.0,171.1,26256.3
ORM07-TS-2012.0021,OR,24.0,1.0,16.6,27.1,3736.2
ORM07-TS-2013.0002,OR,36.0,97.0,1196.0,1949.5,217672.0
ORM07-TS-2013.0004,OR,36.0,155.0,2233.0,3639.8,481607.4
ORM07-TS-2013.0006,OR,36.0,154.0,2381.0,3881.0,478075.0
ORM07-TS-2013.0007,OR,36.0,277.0,3026.0,4932.4,414529.8
ORM07-TS-2013.0011,OR,12.0,1.0,15.0,24.5,5808.0
ORM07-TS-2013.0013,OR,12.0,1.0,8.0,13.0,3039.84
ORM07-TS-2013.0014,OR,12.0,1.0,21.4,34.9,7314.56
ORM07-TS-2014.0002,OR,36.0,1.0,206.7,336.9,74932.1
ORM07-TS-2014.0003,OR,36.0,11.0,40.0,65.2,12742.5
ORM07-TS-2014.0004,OR,36.0,17.0,232.9,379.6,46759.3
ORM07-TS-2014.0005,OR,18.0,137.0,3077.0,5015.5,715868.1
ORM07-TS-2014.0006,OR,12.0,1.0,33.0,53.8,10590.43
ORM07-TS-2014.0007,OR,12.0,1.0,9.0,14.7,3227.13
ORM07-TS-2014.0010,OR,12.0,1.0,29.1,47.4,6784.7
ORM07-TS-2014.0011,OR,24.0,389.0,9463.0,15424.7,796564.4
ORM07-TS-2014.0012,OR,24.0,453.0,12073.0,19679.0,1180205.4
ORM07-TS-2014.0013,OR,24.0,339.0,8821.0,14378.2,864571.4
ORM07-TS-2014.0017,OR,12.0,20.0,309.0,503.7,99221.4
ORM07-TS-2014.0018,OR,12.0,1.0,29.1,47.4,9702.83
ORM07-TS-2014.0019,OR,12.0,2.0,89.6,146.0,26969.53
ORM07-TS-2014.0020,OR,12.0,18.0,661.8,1078.7,156713.73
ORM07-TS-2014.0021,OR,12.0,1.0,27.2,44.3,5706.21
ORM07-TS-2014.0022,OR,12.0,1.0,23.5,38.3,5517.42
ORM07-TS-2015.0003,OR,36.0,573.0,8458.0,13786.5,1799440.2
ORM07-TS-2015.0006,OR,12.0,28.0,602.0,981.3,69119.2
ORM07-TS-2015.0014,OR,12.0,1.0,17.9,29.2,4626.06
ORM07-TS-2015.0015,OR,12.0,1.0,24.0,39.1,8274.33
ORM07-TS-2015.0022,OR,12.0,3.0,97.9,159.6,27526.17
ORM07-TS-2016.0001,OR,36.0,750.0,8396.0,13685.5,1628611.6
ORM07-TS-2016.0013,OR,36.0,490.0,4771.0,7776.7,400519.7
ORM07-TS-2016.0017,OR,12.0,1.0,12.0,19.6,3591.48
ORM07-TS-2017.0002,OR,36.0,708.0,8150.0,13284.5,1685906.8
ORM07-TS-2017.0004,OR,12.0,2.0,42.0,68.5,13607.03
ORM07-TS-2017.0007,OR,36.0,318.0,3580.0,5835.4,697538.0
ORM07-TS-2017.0013,OR,12.0,1.0,23.0,37.5,6739.82
ORM07-TS-2018.0002,OR,36.0,62.0,276.0,449.9,13558.7
ORM07-TS-2018.0003,OR,24.0,54.0,453.0,738.4,144987.0
ORM07-TS-2018.0006,OR,36.0,118.0,828.0,1349.6,47865.2
ORM07-TS-2018.0014,OR,12.0,1.0,27.9,45.5,11772.61
ORM07-TS-2018.0016,OR,12.0,1.0,13.5,22.0,3554.18
ORM07-TS-2019.0002,OR,36.0,54.0,549.0,894.9,74520.8
ORM07-TS-2019.0003,OR,24.0,70.0,929.0,1514.3,44028.0
ORM07-TS-2019.0005,OR,2.0,0.9,82.6,134.6,19662.5
ORM07-TS-2019.0006,OR,12.0,28.0,532.0,867.2,25483.6
ORM07-TS-2019.0015,OR,12.0,1.0,6.0,9.8,2739.24
ORM07-TS-2019.0018,OR,12.0,1.0,10.0,16.3,2902.8
ORM07-TS-2019.0019,OR,12.0,25.0,1456.0,2373.3,71720.0
ORM07-TS-2019.0020,OR,12.0,124.0,2676.0,4361.9,77749.9
ORM07-TS-2019.0022,OR,12.0,65.0,1305.0,2127.2,59077.1
ORM07-TS-2019.0024,OR,36.0,926.0,13644.0,22239.7,721587.7
ORM07-TS-2019.0026,OR,1.0,1.25,110.0,179.3,27232.5
ORM07-TS-2019.0027,OR,12.0,49.0,867.0,1413.2,115678.9
ORN01-TS-2017.0101,OR,36.0,49.0,1911.0,3114.9,477083.0
ORN01-TS-2017.0102,OR,36.0,57.0,1581.0,2577.0,509793.6
ORN01-TS-2017.0103,OR,36.0,60.0,3478.0,5669.1,2035006.0
ORN01-TS-2017.0104,OR,36.0,135.0,4485.0,7310.6,1613766.9
